##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	ANCIENT.SIM.CONT.COV-7.5.RUN-3.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3890
Sequences flagged as poor quality	0
Sequence length	30-49
%GC	37
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.26606683804627	34.0	33.0	34.0	32.0	34.0
2	32.78688946015424	34.0	33.0	34.0	32.0	34.0
3	32.91773778920309	34.0	33.0	34.0	32.0	34.0
4	32.82082262210797	34.0	33.0	34.0	32.0	34.0
5	32.9254498714653	34.0	33.0	34.0	32.0	34.0
6	36.347043701799485	38.0	37.0	38.0	34.0	38.0
7	36.58380462724936	38.0	38.0	38.0	34.0	38.0
8	36.624678663239074	38.0	38.0	38.0	35.0	38.0
9	36.752956298200516	38.0	38.0	38.0	35.0	38.0
10	36.94164524421594	38.0	38.0	38.0	36.0	38.0
11	36.64858611825193	38.0	38.0	38.0	35.0	38.0
12	36.79151670951157	38.0	38.0	38.0	36.0	38.0
13	36.896915167095116	38.0	38.0	38.0	36.0	38.0
14	36.79177377892031	38.0	38.0	38.0	36.0	38.0
15	36.88560411311054	38.0	38.0	38.0	36.0	38.0
16	36.83907455012854	38.0	38.0	38.0	36.0	38.0
17	36.875835475578405	38.0	38.0	38.0	36.0	38.0
18	36.821850899742934	38.0	38.0	38.0	36.0	38.0
19	36.76452442159383	38.0	38.0	38.0	36.0	38.0
20	36.653213367609254	38.0	38.0	38.0	35.0	38.0
21	36.86580976863753	38.0	38.0	38.0	36.0	38.0
22	36.84190231362468	38.0	38.0	38.0	36.0	38.0
23	36.80051413881748	38.0	38.0	38.0	36.0	38.0
24	36.79845758354756	38.0	38.0	38.0	36.0	38.0
25	36.76709511568124	38.0	38.0	38.0	35.0	38.0
26	36.788946015424166	38.0	38.0	38.0	36.0	38.0
27	36.77917737789203	38.0	38.0	38.0	36.0	38.0
28	36.80051413881748	38.0	38.0	38.0	36.0	38.0
29	36.753727506426735	38.0	38.0	38.0	35.0	38.0
30	36.83033419023136	38.0	38.0	38.0	36.0	38.0
31	36.85559343043074	38.0	38.0	38.0	36.0	38.0
32	36.77925925925926	38.0	38.0	38.0	35.0	38.0
33	36.981235697940505	38.0	38.0	38.0	36.0	38.0
34	36.82096317280453	38.0	38.0	38.0	35.0	38.0
35	36.666895133653185	38.0	38.0	38.0	35.0	38.0
36	36.941569282136896	38.0	38.0	38.0	36.0	38.0
37	36.978880675818374	38.0	38.0	38.0	36.0	38.0
38	36.664092664092664	38.0	38.0	38.0	35.0	38.0
39	36.89887640449438	38.0	38.0	38.0	36.0	38.0
40	36.69744597249509	38.0	38.0	38.0	34.0	38.0
41	36.90952380952381	38.0	38.0	38.0	35.0	38.0
42	36.63865546218487	38.0	38.0	38.0	34.0	38.0
43	36.67636363636364	38.0	38.0	38.0	34.0	38.0
44	36.89523809523809	38.0	38.0	38.0	35.0	38.0
45	36.73287671232877	38.0	38.0	38.0	34.0	38.0
46	36.670103092783506	NaN	NaN	NaN	NaN	NaN
47	36.3968253968254	NaN	NaN	NaN	NaN	NaN
48	36.67567567567568	NaN	NaN	NaN	NaN	NaN
49	36.26315789473684	NaN	NaN	NaN	NaN	NaN
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
9	1	-0.2877604166666643
9	2	1.37890625
9	3	0.9791666666666643
9	4	1.24609375
9	5	1.3346354166666643
9	6	0.6888020833333357
9	7	1.5442708333333357
9	8	1.23828125
9	9	1.3828125
9	10	0.98046875
9	11	1.3125
9	12	1.1080729166666643
9	13	0.8541666666666643
9	14	1.28515625
9	15	0.984375
9	16	1.2083333333333357
9	17	0.9596354166666643
9	18	0.94921875
9	19	1.4244791666666643
9	20	1.4010416666666643
9	21	1.1549479166666643
9	22	1.21875
9	23	1.1106770833333357
9	24	1.3059895833333357
9	25	1.3216145833333357
9	26	1.2369791666666643
9	27	1.21484375
9	28	1.03515625
9	29	1.1419270833333357
9	30	1.3059895833333357
9	31	-30.08203125
9	32	-26.361979166666668
9	33	-19.919270833333332
9	34	-16.4921875
9	35	-13.510416666666666
9	36	-11.184895833333334
9	37	-9.486979166666666
9	38	-8.020833333333334
9	39	-5.6796875
9	40	-4.736979166666667
9	41	-3.53125
9	42	-2.9791666666666665
9	43	-2.6953125
9	44	-2.2473958333333335
9	45	-1.2552083333333333
9	46	-1.125
9	47	-0.9869791666666666
9	48	-0.5885416666666666
9	49	-0.5442708333333334
17	1	0.7122395833333357
17	2	-1.62109375
17	3	0.9791666666666643
17	4	-1.75390625
17	5	0.3346354166666643
17	6	1.6888020833333357
17	7	0.5442708333333357
17	8	1.23828125
17	9	1.3828125
17	10	0.98046875
17	11	1.3125
17	12	1.1080729166666643
17	13	0.8541666666666643
17	14	-2.71484375
17	15	0.984375
17	16	1.2083333333333357
17	17	0.9596354166666643
17	18	0.94921875
17	19	1.4244791666666643
17	20	1.4010416666666643
17	21	1.1549479166666643
17	22	1.21875
17	23	1.1106770833333357
17	24	1.3059895833333357
17	25	0.3216145833333357
17	26	1.2369791666666643
17	27	1.21484375
17	28	-1.96484375
17	29	1.1419270833333357
17	30	-0.6940104166666643
17	31	7.91796875
17	32	11.638020833333332
17	33	18.080729166666668
17	34	-16.4921875
17	35	-13.510416666666666
17	36	-11.184895833333334
17	37	-9.486979166666666
17	38	-8.020833333333334
17	39	-5.6796875
17	40	-4.736979166666667
17	41	-3.53125
17	42	-2.9791666666666665
17	43	-2.6953125
17	44	-2.2473958333333335
17	45	-1.2552083333333333
17	46	-1.125
17	47	-0.9869791666666666
17	48	-0.5885416666666666
17	49	-0.5442708333333334
31	1	-0.2877604166666643
31	2	-0.62109375
31	3	-0.020833333333335702
31	4	1.24609375
31	5	0.3346354166666643
31	6	1.6888020833333357
31	7	1.5442708333333357
31	8	1.23828125
31	9	1.3828125
31	10	0.98046875
31	11	1.3125
31	12	1.1080729166666643
31	13	0.8541666666666643
31	14	-0.71484375
31	15	0.984375
31	16	1.2083333333333357
31	17	0.9596354166666643
31	18	0.94921875
